DATACODE,RECTYPE,RECYEAR,SEASON,WATERSHED/LINE,Pm,Rmeg,Sh,Bh,Rmon,St,Mo,Pl,Ch,Mm,Nf,Sc,Zh,Cp
CSM04,1,2010,SP,SuB-B,2,0,0,0,0,0,1,2,0,0,0,0,0,0
CSM04,1,2010,SP,WA-A,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2010,SP,WB-B,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,FA-A,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,FB-B,8,3,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,WA-A,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,WB-B,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,SpB-A,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM04,1,2011,SP,SpB-B,1,0,0,0,0,0,1,5,0,0,0,0,0,0
CSM04,1,2011,SP,SuB-A,7,11,0,0,0,0,0,8,0,0,0,0,0,0
CSM04,1,2011,SP,SuB-B,8,10,0,0,0,0,2,5,0,0,0,0,0,0
